instance_id,n,m,density,profit_type,alpha,greedy_profit,exact_profit,approximation_ratio,profit_gap,relative_profit_gap,greedy_feasible,exact_feasible,greedy_consistent,exact_consistent
4,8,2,dense,anticorrelated,0.8,189,206,0.9174757281553398,17,0.0825242718446602,True,True,True,True
5,8,2,dense,anticorrelated,0.8,88,96,0.9166666666666666,8,0.08333333333333333,True,True,True,True
1,8,2,sparse,random,0.3,59,59,1.0,0,0.0,True,True,True,True
2,8,2,sparse,random,0.3,396,660,0.6,264,0.4,True,True,True,True
3,8,2,sparse,random,0.3,147,224,0.65625,77,0.34375,True,True,True,True
4,8,2,sparse,random,0.3,315,315,1.0,0,0.0,True,True,True,True
5,8,2,sparse,random,0.3,152,162,0.9382716049382716,10,0.06172839506172839,True,True,True,True
1,8,2,sparse,random,0.8,177,246,0.7195121951219512,69,0.2804878048780488,True,True,True,True
2,8,2,sparse,random,0.8,1089,1793,0.6073619631901841,704,0.39263803680981596,True,True,True,True
3,8,2,sparse,random,0.8,392,623,0.6292134831460674,231,0.3707865168539326,True,True,True,True
4,8,2,sparse,random,0.8,819,859,0.9534342258440046,40,0.046565774155995346,True,True,True,True
5,8,2,sparse,random,0.8,456,557,0.8186714542190305,101,0.1813285457809695,True,True,True,True
1,8,2,sparse,correlated,0.3,5,5,1.0,0,0.0,True,True,True,True
2,8,2,sparse,correlated,0.3,8,9,0.8888888888888888,1,0.1111111111111111,True,True,True,True
3,8,2,sparse,correlated,0.3,12,16,0.75,4,0.25,True,True,True,True
4,8,2,sparse,correlated,0.3,7,12,0.5833333333333334,5,0.4166666666666667,True,True,True,True
5,8,2,sparse,correlated,0.3,9,13,0.6923076923076923,4,0.3076923076923077,True,True,True,True
1,8,2,sparse,correlated,0.8,15,17,0.8823529411764706,2,0.11764705882352941,True,True,True,True
2,8,2,sparse,correlated,0.8,24,28,0.8571428571428571,4,0.14285714285714285,True,True,True,True
3,8,2,sparse,correlated,0.8,32,48,0.6666666666666666,16,0.3333333333333333,True,True,True,True
4,8,2,sparse,correlated,0.8,28,39,0.717948717948718,11,0.28205128205128205,True,True,True,True
5,8,2,sparse,correlated,0.8,24,30,0.8,6,0.2,True,True,True,True
1,8,2,sparse,anticorrelated,0.3,16,16,1.0,0,0.0,True,True,True,True
2,8,2,sparse,anticorrelated,0.3,64,74,0.8648648648648649,10,0.13513513513513514,True,True,True,True
3,8,2,sparse,anticorrelated,0.3,63,82,0.7682926829268293,19,0.23170731707317074,True,True,True,True
4,8,2,sparse,anticorrelated,0.3,28,56,0.5,28,0.5,True,True,True,True
5,8,2,sparse,anticorrelated,0.3,36,54,0.6666666666666666,18,0.3333333333333333,True,True,True,True
1,8,2,sparse,anticorrelated,0.8,48,59,0.8135593220338984,11,0.1864406779661017,True,True,True,True
2,8,2,sparse,anticorrelated,0.8,192,232,0.8275862068965517,40,0.1724137931034483,True,True,True,True
3,8,2,sparse,anticorrelated,0.8,168,244,0.6885245901639344,76,0.3114754098360656,True,True,True,True
4,8,2,sparse,anticorrelated,0.8,84,168,0.5,84,0.5,True,True,True,True
5,8,2,sparse,anticorrelated,0.8,96,114,0.8421052631578947,18,0.15789473684210525,True,True,True,True
1,8,3,dense,random,0.3,196,286,0.6853146853146853,90,0.3146853146853147,True,True,True,True
2,8,3,dense,random,0.3,99,190,0.5210526315789473,91,0.4789473684210526,True,True,True,True
3,8,3,dense,random,0.3,200,204,0.9803921568627451,4,0.0196078431372549,True,True,True,True
4,8,3,dense,random,0.3,97,178,0.5449438202247191,81,0.4550561797752809,True,True,True,True
5,8,3,dense,random,0.3,243,243,1.0,0,0.0,True,True,True,True
1,8,3,dense,random,0.8,588,760,0.7736842105263158,172,0.22631578947368422,True,True,True,True
2,8,3,dense,random,0.8,495,556,0.8902877697841727,61,0.10971223021582734,True,True,True,True
3,8,3,dense,random,0.8,600,605,0.9917355371900827,5,0.008264462809917356,True,True,True,True
4,8,3,dense,random,0.8,388,469,0.8272921108742004,81,0.17270788912579957,True,True,True,True
5,8,3,dense,random,0.8,729,811,0.8988902589395807,82,0.10110974106041924,True,True,True,True
1,8,3,dense,correlated,0.3,15,16,0.9375,1,0.0625,True,True,True,True
2,8,3,dense,correlated,0.3,17,18,0.9444444444444444,1,0.05555555555555555,True,True,True,True
3,8,3,dense,correlated,0.3,20,25,0.8,5,0.2,True,True,True,True
4,8,3,dense,correlated,0.3,22,27,0.8148148148148148,5,0.18518518518518517,True,True,True,True
